Tr.Date ,Detail ,Debit ,Credit ,Status ,TransNo 
4/5/2012, Opening Balance  , ,0, , 
9/14/2012,{CrSale} 3103 38PS ,"79,130.00", , ,2129
9/14/2012,{CrSale} 3104 30PS ,"54,600.00", , ,2132
9/14/2012,{CrSale} 3105 34PS ,"67,370.00", , ,2135
9/14/2012,{CrSale} 3106 73PS ,"81,285.00", , ,2138
1/17/2013,{CHQ} BILL , ,"100,000.00",Hand ,8963
1/17/2013,{CHQ} BILL , ,"90,000.00",Hand ,8964
1/17/2013,{CHQ} BILL , ,"90,000.00",Hand ,8965
1/17/2013,{CrSale} 1566 44PS ,"94,380.00", , ,9024
4/12/2013,Dr R/C - 025832  ,"90,000.00", , ,12582
5/20/2013,Dr R/C - 025834  ,"90,000.00", , ,13877
5/29/2013,{CHQ} BILL , ,"75,000.00",Hand ,14009
5/29/2013,{CHQ} BILL , ,"75,000.00",Hand ,14010
5/29/2013,{CHQ} BILL , ,"75,000.00",Hand ,14011
5/29/2013,{CHQ} BILL , ,"75,000.00",Hand ,14012
5/29/2013,Dr R/C - 025835  ,"100,000.00", , ,14036
6/19/2013,Cr CASH FO R/C  , ,"25,000.00", ,14740
12/5/2013,{CHQ} BILL , ,"51,765.00",Hand ,20929
12/27/2016,{CHQ} BILL , ,"85,785.00",Bank ,56058
12/27/2016,{CrSale} 2661  ,"85,785.00", , ,56144
 , , , , , 
 , ,,, , 
4/5/2017,Closing Balance , ,0, , 
 , ,,, , 
 , , , , , 
 , , , , , 
 , , , , , 
A/C: 1047 ,"A/C Name : INDIAN SELECTION MANNAR,     MANNAR   ",,To Date: 4/5/2017 , , 
