"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/10/20,"{CrSale} 1820 9ps ",27825," "," ",3762
2012/10/23,"{CrSalRtn} 1961 3ps "," ",11595," ",3846
2013/07/18,"Cr CASH FOR BILL  "," ",16250," ",15954
2014/08/31,"dR  ",20," "," ",32814
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1155 ","A/C Name : BUHARY TOWER ( ALIAKBAR HAJI),        ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
