"Tr.Date ","Detail ","Debit ","Credit ","Status ","TransNo "
2012/04/05," Opening Balance  "," ",0," "," "
2012/07/12,"OPENING BALANCE  MONTH OF 6TH  ",780860," "," ",1968
2012/07/19,"{CrSalRtn}   "," ",19815," ",875
2012/08/06,"{CrSale}   ",74845," "," ",2486
2012/09/15,"{CHQ}  "," ",275000,"Hand ",2193
2012/09/15,"{CHQ}  "," ",275000,"Hand ",2194
2012/09/15,"{CHQ}  "," ",285800,"Hand ",2195
2012/10/17,"{CrSale} 1607 65ps ",116175," "," ",3525
2012/10/17,"{CrSale} 1480 6ps ",11250," "," ",3533
2012/11/01,"{CrSalRtn} 1198 5ps boys suite 1ps by hand "," ",9375," ",4322
2012/11/26,"{CrSalRtn} 1495 1607 RTN BILL 65PS "," ",116175," ",5734
2013/01/02,"Dr R/C - 431460  ",275000," "," ",8187
2013/01/07,"Cr CASH  "," ",75000," ",8316
2013/01/11,"Cr CASH FOR R/C  "," ",50000," ",8735
2013/01/16,"Cr CASH FOR R/C  "," ",45000," ",8887
2013/01/16,"{CHQ} BILL "," ",175000,"Hand ",8889
2013/01/16,"{CHQ} BILL "," ",175000,"Hand ",8890
2013/01/16,"{CHQ} BILL "," ",213415,"Hand ",8891
2013/01/16,"{CrSale} 2065 65PS ",164885," "," ",8903
2013/01/16,"{CrSale} 2068 68PS ",188170," "," ",8912
2013/01/16,"{CrSale} 2069 73PS ",136995," "," ",8915
2013/01/16,"{CrSale} 2070 35PS ",73365," "," ",8918
2013/02/05,"Cr CASH FOR R/C  "," ",25000," ",9511
2013/02/05,"Dr R/C 431461  ",275000," "," ",9535
2013/02/08,"Cr CASH FOR R/C  "," ",35000," ",9693
2013/03/04,"Dr R/C - 431463  ",285800," "," ",10263
2013/03/12,"Cr R/C CASH  "," ",50000," ",10608
2013/05/27,"{CHQ} R/C "," ",140000,"Hand ",13988
2013/05/27,"{CHQ} R/C "," ",140000,"Hand ",13989
2013/05/27,"{CHQ} R/C "," ",140000,"Hand ",13990
2013/05/27,"{CHQ} R/C "," ",140000,"Hand ",13991
2013/06/05,"Dr R/C - 974046  ",175000," "," ",14527
2013/06/13,"Cr ACSH FOR R/C -  "," ",75000," ",14559
2013/06/21,"Cr CASH FOR R/C  "," ",50000," ",14842
2013/06/24,"Dr R/C - 974048  ",175000," "," ",14920
2013/06/26,"Cr CASH FOR R/C  "," ",25000," ",15005
2013/07/03,"Dr R/C - 974047  ",213415," "," ",15255
2013/07/24,"Cr CASH FOR R.C  "," ",20000," ",16334
2013/09/10,"{CrSalRtn} 3170 80ps "," ",199935," ",17984
2013/09/10,"{CrSalRtn} 3171 79ps "," ",237605," ",17987
2013/09/10,"{CrSalRtn} 3172 12ps "," ",29040," ",17990
2013/09/10,"Dr DSCOUNT 20%  ",94000," "," ",18017
2013/09/18,"Dr RC - 912613  ",140000," "," ",18258
2013/10/02,"Dr RC - 912615  ",140000," "," ",18535
2013/10/31,"Dr RC - 912614  ",140000," "," ",19511
2014/01/27,"Cr CASH  "," ",15000," ",22423
2014/12/02,"{CrSalRtn} 4834 lot item "," ",423600," ",37541
" "," "," "," "," "," "
" "," ",,," "," "
2017/04/05,"Closing Balance "," ",0," "," "
" "," ",,," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
" "," "," "," "," "," "
"A/C: 1022 ","A/C Name : BOMBAY SELECTION MANNAR,       0713247553 / 0719189028 ","From Date: 05-Apr-12 ","To Date: 05-Apr-17 "," "," "
